discrimination  n.识别，辨别
disease  n.疾病
disguise  vt./n.掩饰；伪装
disgust  vt.厌恶，嫌恶
disintegrate  v.（使）瓦解；（使）破碎
disinterested  a.无个人利害关系的；无私的
dismal  a.阴沉的；忧郁的
dismay  vt./n.使气馁，使沮丧
disorder  n.混乱，动乱；失调
displace  vt.取代；移置
display  vt./n.陈列；展示；显示
dispose  v.使愿意做；(~ of)除掉
dispute  n.争论；纠纷 v.争论
disrupt  vt.使中断；扰乱
disseminate  vt.散布，传播
dissolve  v.（使）溶解；清除
distinct  a.明显的；明确的；不同的
distinguish  v.区别，辨别；出名
distort  vt.弄歪（形状等）；歪曲
distract  vt.分散注意力，使…分心
distress  n.痛苦，不幸
distribute  vt.分配，分发；散布
disturbance  n.干扰；骚动
dive  n./vi.跳水；潜水
diverse  a.不同的；多样的
diversification  n.多样性
diersity  n.多样性
divert  vt.转移；使娱乐
division  n.划分；除法
doctrine  n.教条，教义；学说
documentary  a.文献的；纪实的 n.纪录片
documentation  n.文件
dolphin  n.海豚
domain  n.领域；领土
domestic  a.国内的；家庭的；家养的
dominate  v.支配；控制
donate  vt.捐赠；赠送
dormant  a.静止的；休眠的
dormitory  n.宿舍
downtown  ad./a.在市区（的），往市区（的）
draft  n.草图，草稿 vt.起草 a.供役使的
drain  n.排水；消耗 v.（使）流走
dramatic  a.引人注目的；戏剧性的
drastic  a.剧烈的
drift  n./vi.漂流；漂泊
drill  v.钻（孔），打眼 n.钻（孔）；操练
drought  n.干旱（期）
dubious  a.可疑的
ductile  a.易延展的
due  a.到期的；由于；预定的
dull  a.单调的；迟钝的
dump  vt.倾卸，倾倒
duplicate  vt.复写，复制
durable  a.持久的，耐用的
dwarf  n.侏儒；矮小的东西 vt.使…显得矮小
dwelling  n.住处
ease  n.不费力
Easter  n.复活节
eccentric  a.古怪的；反常的 n.古怪的人
eclipse  n.（日、月）食 vt.使相形见绌
ecology  n.生态，生态学
economy  n.经济（制度）；节俭，节约
ecosystem  n.生态系统
edible  a.可食用的
edifice  n.高大的或宏伟的建筑物
editorial  n.社论 a.社论的
eject  vt.逐出；喷出
elaborate  a.精心计划（制作）的，复杂精美的
elective  a.选修的
electricity  n.电；电流
electron  n.电子
elegant  a.雅致的，高雅的
element  n.元素，要素；[常 pl.]基础
elementary  a.初级的
elevate  vt.举起，抬高
elicit  vt.得出，引出
eligible  a.符合条件的，合格的
eliminate  vt.消除；淘汰
elliptical  a.椭圆的
elm  n.榆树
eloquent  a.雄辩的；动人的
