elusive  a.难懂的；难捕捉的
embarrass  v.（使）尴尬；（使）困窘
embellish  vt.修饰；渲染
emblem  n.徽章
embody  vt.体现；含有
embrace  vt.乐意或渴望从事与
embryo  n.胚胎；雏形
emerald  n.绿宝石
emerge  vi.显露；暴露
eminent  a.显著的；杰出的
emission  n.散发（物），发射
emit  vt.发出；放射
emotion  n.感情；情绪
emotional  a.感情（上）的，情绪（上）的
emphasize  vt.强调，着重；重读
enactment  n.制定
encase  vt.包住
enclose  vt.围住；把…装入（信封、包裹）
encompass  vt.包含；环绕
encounter  n./vt.偶然碰到；遭遇
encourage  vt.鼓励，促进
encroach  vi.侵占，蚕食
endangered  a.将要绝种的
endeavor  vi./n.努力，尽力
endow  vt.使天生具有；赋予
endure  v.忍受，忍耐
enforce  vt.实施，执行；强迫
engaging  a.迷人的
engine  n.引擎，发动机
engraving  n.雕刻术；版画
engulf  vt.吞没
enhance  vt.提高；增强
enlightenment  n.启发，启迪
enormous  a.巨大的，极大的
enrich  vt.使充实，使肥沃
enroll  v.(~ in)登记；注册
entail  vt.牵涉
enterprise  n.公司；事业
enterprising  n.有事业心的，有进取心的
entertain  v.招待；使娱乐
enthusiasm  n.热情；积极性
entitle  vt.使有权（做某事）
entry  n.进入（权）；入口处
envelop  [in'velrp]vt.包围
enzyme  n.酶，酵素
ephemeral  a.短暂的，转瞬即逝的
epic  n.史诗 a.英雄的
epidemic  n.流行；流行病
episode  n.一段时期；（电视剧的）一集；一段情节
epitomize  vt.成为…的缩影
epoch  n.新纪元，时代
equal  a.相同的 vt.等于；相当于 n.相等的人
equator  n.赤道
equivalent  a.相同的；相当的； n.对等物；等价物
era  n.纪元；时代
erect  a.直立的 vt.建立
erode  vt.侵蚀，腐蚀
errand  n.差事；差使
erupt  vi.爆发
essay  n.散文，短文，评论
essence  n.本质，精髓
essential  a.基本的，本质的；重要的
establish  vt.建立；安置
estate  n.地产
estimate  ['estimeit]v.估计；估价 ['estimrt]n.估计；估价
eternal  a.永恒的，不朽的
ethics  n.道德规范；伦理学
ethnic  a.种族的；民族的
evacuation  n.撤离
evaluate  vt.评价，估计
evaporate  v.（使）蒸发；消失
even  a.偶数的；平均的
evidence  n.根据；证据；迹象 vt.证明
evident  a.明显的；清楚的
evoke  vt.唤起，激起
evolve  v.发展；（使）进化
exaggerate  v.夸张，夸大
exalted  a.崇高的，高贵的
excavate  vt.挖掘，挖出
exceed  vt.超过，超出
