excess  [ik'ses]n.过度，超过 ['ekses]a.过量的，额外的
exchange  vt./n.交换，兑换；交易
exclude  vt.把…排除在外
excursion  n.远足
execute  vt.执行；处死；完成
exemplary  a.模范的，典型的
exempt  a.被免除的，被豁免的
exert  vt.发出；施加
exhale  v.呼出（气）
exhaust  vt.耗尽 n.废气；排气管
exhibit  vt.显示；展出 n.展览（品）
exhilarating  a.令人高兴的，使人兴奋的
exotic  a.外来的；奇异的
expand  v.扩张；膨胀
expedition  n.远征（队）；探险（队）
expel  vt.排出
expertise  n.专门知识（或技能等）
expire  vi.到期；去世
explicit  a.清楚的，直率的
explode  vi.爆炸
exploit  vt.开发；利用
explore  v.探险；探究
exponent  n.拥护者；指数
exposition  n.展览会，博览会
exposure  n.显露；曝光
extend  v.延长，延伸
extension  n.延长（期限）；延伸（部分）
extent  n.程度，范围
exterior  n./a.外部（的），外表（的）
external  a.外部的，位于外表的
extol  vt.赞美，颂扬
extract  [ik'straekt]vt.取出；提取 ['ekstraekt]n.提出物；汁
extraordinary  a.特别的；非凡的
extravagant  a.（言行等）放肆的，过度的
extreme  a.极度的 n.极端
exuberant  a.繁茂的；充满活力的
fabric  n.布，织品；结构
fabricate  vt.编造；制造
facade  n.正面；表面
facial  a.面部的
facilitate  vt.推动，促进
facility  n.[常 pl.]设备，工具
factor  n.要素，因素；因数；变量
factual  a.实际的，真实的
faculty  n.全体教职员工；能力
fade  vi.褪色；凋谢；消失
Fahrenheit  n.华氏温度计
faint  a.暗淡的，模糊的
fair  a.公平的，合理的 n.展览会；集市
fairly  ad.相当地；公正地
familiarize  vt.使熟悉
fancy  a.奇特的；异样的
fantasy  n.想象，幻想
fare  n.费用 vi.进展
fascinate  vt.迷住；使感兴趣
fashion  n.方式；流行，风尚 vt.形成，把…塑造成
fasten  vt.强加于；使固定；系
fatal  a.致命的；毁灭性的
fatigue  n.劳累；（金属材料等）疲劳
faucet  n.水龙头；插口
fault  n.过错；断层
fauna  n.动物群
favorable  a.良好的；赞成的；有利的
favored  a.有利的；受优待的，首选的
feasible  a.可行的
feat  n.功绩；壮举
federal  a.联邦（制、政府）的
feeble  a.虚弱的，无力的
fellow  n.家伙；同事 a.同道的
fellowship  n.友谊；奖学金
female  n.女性 a.女（性）的；母的，雌性的
feminist  n.女权主义者
ferment  vt.使发酵
fertile  a.肥沃的；能繁殖的
fertilize  vt.使…受精，受粉；施肥
feudal  a.封建（制度）的
fiber  n.纤维；光纤
fiction  n.小说；虚构，编造
