fidelity  n.忠诚，忠实
file  n.档案；行列 vt.归档；提出
filter  n.过滤器 vt.过滤
fin  n.鳍
finance  vt.给…提供资金 n.财政，金融
finch  n.雀类
firm  n.公司 a.结实的；坚定的
fitness  n.健康
flag  n.旗帜；标记
flagellum  n.[pl. flagella]鞭毛
flake  n.薄片 vt.使成薄片；雪片般落下
flame  n.火焰；光辉 vi.闪耀
flap  n.拍打 v.（使）摆动；拍打
flask  n.细颈瓶
flat  a.平（坦）的 n.平地，地面
flavoring  n.调味（品、料）
flexible  a.易曲的，柔软的；灵活的
flint  n.燧石，打火石
float  v.（使）漂浮
flock  n.群；大量 vi.聚结
flora  n.植物（群）
flourish  vi.繁荣，茂盛
fluctuate  vi.波动；变化
flux  n.变迁
flod  n.褶皱 vt.合拢
foliage  n.树叶；植物
folklore  n.民间传说
foment  vt.煽动
forage  n.草料 vi.寻找（食物）
forecast  vt./n.预报；预测
forefront  n.最前沿；中心
foremost  a.最著名的；最重要的
foreshorten  vt.（绘画中）按照透视法缩短
formal  a.正（规、式）的；形式的
format  n.格式，模式
formation  n.形成，构成；编队
former  a.从前的 n.前者
formidable  a.艰难的；强大的
formulate  vt.阐明
fort  n.要塞，堡垒
fortuitous  a.偶然的
fortune  n.财富；运气
fossil  n.化石 a.陈腐的；化石的
foster  vt.鼓励；培养
fountain  n.喷泉
fraction  n.小部分
fracture  v./n.（使）破裂
fragile  a.易碎的；脆弱的
fragment  n.碎片，断片
fragrant  a.芳香的，香的
frame  n.框架 vt.设计，构成
fray  vi.磨（损、破）
freight  n.货运
frenzy  n.狂暴
fresco  n.壁画
friction  n.摩擦；冲突
frigid  a.寒冷的；冷淡的
frost  n.霜；结霜
frugal  a.节俭的
frustrate  vt.使感到灰心，挫败
fulfill  vt.履行；符合
function  n.机能；功能；作用
fund  n.[常 pl.]基金，资金；储备
fundamental  a.基础的，基本的
funding  n.用发行长期债券的方法来收回短期债券
fungus  n.[pl. fugi]真菌，菌类植物
furnace  n.暖气锅炉；熔炉
furnish  vt.提供；装备
fuse  v.熔合；合并
galaxy  n.星系
galiery  n.画廊，美术馆
gallop  vi.（马）飞奔；疾驰
gap  n.缺口；间隔
garbage  n.垃圾；废物
gaseous  a.（含）气体的，气态的
gasoline  n.汽油
gear  n.齿轮；速度；设备
gem  n.宝石
gemstone  n.经雕琢的宝石
gender  n.性别
