gene  n.基因
generalize  vt.概括，归纳
generate  vt.产生；引起
generation  n.一代人；发生
generous  a.慷慨的；大量的
genesis  n.起源
genetic  a.基因的，遗传（学）的
genetically  ad.由基因决定地，与遗传有关地
genetics  n.遗传学
genial  a.亲切的，和蔼的
genius  n.天才，天赋
genre  n.类型；留派
gentle  a.温柔的；温和的
genuine  a.真正的；真实的
geology  n.地质学
geometry  n.几何（学）
germ  n.微生物；细菌
giant  a.巨大的；超群的 n.巨大的动植物
gigantic  a.巨大的，庞大的
gin  n.轧棉机
giraffe  n.长颈鹿
girder  n.大梁
given  a.特定的；假定的
glacial  a.冰河期的；冰河时代的
glacier  n.冰川；冰河
glamorous  a.富有魅力的，迷人的
gland  n.腺
glare  n.耀眼的光
glaze  vt.上釉 n.釉
glimpse  n.一看，一瞥 vt.瞥见
glorify  vt.美化；赞扬
glossy  a.光滑的
glow  vi.发光
glue  n.胶；胶水 vt.粘合；紧附于
gnaw  v.啃；咬
gorgeous  a.漂亮的；令人愉快的
gorilla  n.大猩猩
gospel  n.信条；福音音乐
Gothic  a.哥特式的
gourd  n.葫芦
govern  vt.治理，管理；决定
governor  n.省长；州长；总督
grab  vt.（随便地或匆匆地）取或拿
grace  n.优美，优雅
gradient  n.梯度
grading  n.评分；等级
gradual  a.逐渐的，逐步的
grain  n.谷物；颗粒；少量
granite  n.花岗岩
grant  vt.给予，授予；同意；承认 n.拨款
granular  a.粒状的
graph  n.图表；坐标图
graphic  a.形象的；文字的，图解的
grasp  vt.抓住
grasshopper  n.蚂蚱，蝗虫
gravel  n.沙砾，砾石
gravitational  a.重力的，万有引力的
gravity  n.重力
grazing  n.放牧；牧草
gregarious  a.群居的
grimly  ad.冷酷地
grind  vt.打磨；磨（碎），碾（碎）
grip  vt.控制
groan  vi.呻吟；叹息
grocery  n.杂货店
groom  vt.（动物）将…的皮毛弄干净；使做好准备
gross  vt.总计 n.一罗（12打，144个）
grudge  n.怨恨
guarantee  vt.保证；担保
guideline  n.[常 pl.]指导方针
guilty  a.内疚的
gulf  n.海湾；分歧
gull  n.鸥，海鸥
gymnasium/gym  n.体育馆；健身房
habitat  n.（动物或植物的）自然环境；栖息地
hail  n.冰雹 vt.向…欢呼
hammer  n.槌；锤子 v.捶打
hamper  vt.妨碍
handy  a.可用的；手边的
harbor  n.港口 vt.藏有
