alchemist  n.炼金术士
alert  a.机警的 vt.提醒
alga  n.[pl. algae]藻类，海藻
algebra  n.代数（学）
alien  a.不同的 n.外星人；组织之外的人
alkali  n.碱
allay  vt.减轻，减少
allegory  n.寓言
allergy  n.过敏症
alleviate  vt.减轻，缓和
allocation  n.配给，分配
alloy  n.合金 vt.使成合金
alphabet  n.字母表
alter  v.（使）改变
alternate  a.交替的，轮流的
alternative  n.选择 a.其他可用的
altitude  n.（海拔）高度；[常 pl.]海拔甚高的地方
aluminum  n.铝
alumnus  n.男校友 [pl. alumni]
amass  v.积聚
amateur  n.业余爱好者
amid  prep.在…中
amino  a.氨基的
ammonia  n.氨，氨水
amnesia  n.健忘症
amount  n.总额 vi.总计达
ample  a.充足的
amplify  vt.放大（声音等）；增强
amuse  vt.逗乐，逗笑
amusement  n.娱乐，消遣
analogy  n.类比，类推；类似物
analysis  n.分析
analyze  vt.分析，研究
anatomy  n.解剖构造；解剖
ancestor  n.祖先
anchor  vt.紧固，使固定
ancient  a.古代的；古老的
angle  n.角；角度
animation  n.动画制作
announce  vt.宣布；通告
annoyed  a.生气的
annual  a.每年的；一年一度的
anthropology  n.人类学
antibiotic  n.[常 pl.]抗生素 a.抗生的
anticipate  vt.预见，预期
antique  n.古董
apartment  n.公寓
apparent  a.显然的，明显的
appeal  n.吸引力 vi.吸引；上诉
appetite  n.胃口，食欲
applaud  v.鼓掌喝彩；称赞
applicable  n.可应用的，可实施的
applicant  n.申请者
appointment  n.约会，约定
appreciate  vt.赏识，鉴赏；感激
apprentice  n.学徒
approach  v./n.接近，靠近 n.方法，手段
appropriate  [~rt]a.适当的 [~eit]vt.拨款；占用
approve  vt.批准 vi.赞成
approximate  [~eit]vi.近似 [~rt]a.近似的
aquarium  n.养鱼池；水族馆
aquatic  a.水生的；水中（上）的
arbitrary  a.任意的，专断的
archaeology  n.考古学
architect  n.建筑师
arid  a.干旱的；贫瘠的
arithmetic  n.算术
arrange  vt.布置；安排；筹备
array  n.一系列
articulate  [~rt]a.有关节的 [~eit]vt.清除地说
artifact  n.人工制品；[常 pl.]史前古器物
artificial  a.人造的；假的
artisan  n.工匠，手艺人
artistic  a.艺术（家）的
ascending  a.上升的，向上的
ascribe  vt.(~ to)把…归于
aspect  n.方面
assemble  v.集合；装配
assert  vt.断言，声称
assign  vt.指派；分配；布置（作业）
associate  [~ieit]v.关联；结交 a.副的 [~iit]n.伙伴；大专学位 a.准的（比正式的低一级）
