assume  vt.假定；承担
assure  vt.确保；使确信
asteroid  n.小行星
astronomy  n.天文学
asymmetrical  a.不均匀的，不对称的
athlete  n.运动员
atmosphere  n.大气，天气；气氛
atomic  a.原子的；原子能的
attach  vt.连接；贴上，依附于
attain  vt.达到；获得
attempt  n./vt.尝试，努力
attendance  n.出席；出席人数
attorney  n.代理人，辩护律师
attract  vt.吸引
attractive  a.吸引人的，有魅力的
attribute  ['a~]n.属性 [r'~]vt.把…归结于
auction  n.拍卖
audience  n.听众；观众
audio  a.音频的；声音的
audit  vt.旁听
audition  n.旁听；视唱
auditorium  n.礼堂
augment  vt.增大，增加
authority  n.权威人士；权力；当局
authorize  vt.授权，批准，许可
automatic  a.自动的
automobile  n.汽车
available  a.可得到的；可利用的；有空的
avalanche  n.雪崩，山崩
avenue  n.途径；大街
avert  vt.避免，规避
aviation  n.航空，航空学；飞行
avoid  vt.避免，规避
aware  a.知道的；意识到的
awareness  n.知道，注意
awful  a.不舒服的；糟糕的；可怕的
awkward  a.别扭的；笨拙的
axis  n.轴
Babylonian  a.巴比伦的
backlighting  a.逆光
bake  v.烘，烤
balcony  n.包厢
bald  a.光秃的
banner  n.横幅
barb  n.倒钩，倒刺
brabecue  n.烧烤野餐
bare  a.赤裸的
barge  n.驳船，游艇
bark  n.树皮
barm  n.谷仓；牲口棚
barrel  n.桶
barren  a.贫瘠的，荒芜的
barrier  n.栅栏；屏障
barter  n./v.实物交易
basin  n.盆地
battery  n.电池
bead  n.珠子，水珠
beak  n.鸟嘴，喙
beam  n.束；横梁
beat  v.敲打 n.拍子 a.疲惫的
beaver  n.海狸
behave  vi.行为，表现
behavior  n.举止，行为
belt  n.地带；腰带
beneficial  a.有益的，有利的
benefit  a.利益，好处 v.（使）收益
benign  a.（气候）良好的
besiege  vt.包围
beverage  n.饮料
bias  n.偏见
bill  n.账单，票据；议案；钞票；鸟嘴，形似鸟嘴的东西
bind  vt.使结合，绑；装订
biography  n.传记
bison  n.美洲或欧洲的野牛
blade  n.刃，刀片
blanket  n.毛毯；覆盖物
blast  n.一股 v.爆发；发出尖响
bleach  n.漂白剂
blend  v./n.混合
blip  n.雷达上显示的点
