blizzard  n.大风雪
block  vt.阻塞 n.一块；街区
bloom  n.花 vi.开花
blossom  n.花 vi.开花
blur  vt.使…模糊
board  n.委员会；膳食费用；板
boast  v./n.自夸
bog  n.沼泽
bold  a.大胆的，冒失的
bond  n.联结，粘结；债券；化学键
bony  a.瘦骨嶙峋的
boom  n.繁荣 vi.迅速增长
boost  vt.提高，推进
botany  n.植物学
boulder  n.大石头
bounce  v./n.（使）弹，（使）反弹
bound  a.被束缚的，被要求的 n.[常 pl.]界限
boundary  n.分界线；边界
brand  n.商标
brass  n.黄铜（器）；铜管乐器
breakthrough  n.突破
breed  n.品种 vt.饲养 vi.繁殖
breeze  n.微风
brief  a.简短的，短暂的
brighten  vt.使快活
briliance  n.光辉；显赫
briliant  a.闪耀的；杰出的
brittle  a.易碎的
brochure  n.小册子
bronze  n.青铜
brush  n.毛笔 v.刷，拂
bubble  n.（气、水）泡 v.起泡
buck  n.美元
buckle  n.皮带扣环 b.扣紧
bud  n.芽，蓓蕾
buddy  n.密友，伙伴
budget  n.预算
buffalo  n.水牛
bulb  n.植物的球茎，球形物；灯泡
bulk  n.体积；大部分
bulletin  n.简明新闻；公告
bump  v.撞（破） n.肿块
bundle  n.捆，束 vt.捆
bureau  n.局，署
burgeon  vi.迅速成长，发展
burrow  vi.挖地洞 n.洞穴
cabin  n.小屋
cabinet  n.内阁；贮藏橱；陈列柜
cable  n.缆绳；电缆；电报
cactus  n.[pl. cacti]仙人掌
cafeteria  n.自助餐厅
calcium  n.钙
calculate  vt.计算；推测；打算
calculus  n.微积分学；结石
calendar  n.（日、月）历；日程表
calibration  n.标度，刻度
camouflage  n./v.掩饰，伪装
campaign  n.竞选活动 vi.竞选；参加战斗
candidate  n.候选人
cannibalism  n.嗜食同类
canopy  n.天蓬，遮篷
canvas  n.帆布；画布
canyon  n.峡谷
capability  n.能力；性能；容量
capacity  n.能力；容量；身份
cape  n.海角，岬
capillary  n.毛细血管
captive  n.俘虏，猎物
carbon  n.碳
cardiac  a.心脏的，心脏病的
cardinal  a.主要的，最重要的 n.红衣凤头鸟
cargo  n.货物
caribou  n.北美产驯鹿
carnivore  n.肉食动物
carp  n.鲤鱼
cart  n.大车；手推车
cartilage  n.软骨
carve  v.切；雕刻
cascade  n.小瀑布
