cascara  n.缓泻剂
cssette  n.盒式录音（或录像）带
cast  n.铸件 vt.浇筑；投掷
catalog  n.目录
catalyst  n.催化剂
catastrophe  n.突如其来的大灾难
category  n.种类；范畴
caterpillar  n.毛虫，蝴蝶幼虫
cautious  a.小心的，谨慎的
cavity  n.腔；洞
cereal  n.谷类（食品）
ceremony  n.典礼，仪式；礼节
certificate  n.证（明）书
chafe  vi.擦热，擦破，擦痛
chamber  n.房间；洞穴
champion  n.冠军；拥护者 vt.支持
championship  n.冠军身份；冠军赛，[常 pl.]锦标赛
channel  n.[常 pl.]通道
chaos  n.混乱
chapel  n.小礼堂
character  n.性格；特征；角色
characteristic  a.特有的；典型的 n.特性
characterize  vt.以…为特征；刻画…的性格
charcoal  n.木炭
chart  n.图表 vt.用图说明
charter  n.宪章 vt.特许
checked  a.格子花纹的；棋盘状的
chief  n.首领 a.主要的；总的
chill  n.寒冷，寒意
chilled  a.冷冻的
chimpanzee  n.黑猩猩
chip  n.碎片；芯片 v.削（或凿）下
chlorine  n.氯
choir  n.唱诗班，合唱队
cholesterol  n.胆固醇
choreographer  n.舞蹈指导
chorus  n.合唱队
chromosome  n.染色体
chronical  a.慢性的，延续很长的
circuit  n.电路，线路
circular  a.圆形的；循环的
circulation  n.发行额；循环；流通
circumference  n.周边；圆周
circumstance  n.环境；境况
cite  vt.引用，引证，举例
civilian  a.平民的；民间的
claim  v./n.声称；要求；索赔 n.断言
clam  n.蛤
clamor  n.吵闹，喧哗
clarify  vt.澄清；阐明
classic  a.经典的；典型的 n.经典作品；[pl.]古典文学
classify  vt.分类；分等级
clay  n.泥土，粘土
client  n.委托人，当事人；顾客
cliff  n.悬崖，绝壁
cling  vi.附着；紧贴
clinical  a.临床的
clipper  n.快速帆船
closet  n.壁橱 a.隐蔽的
clump  n.土块 vi.丛生，成群
clumsy  a.笨拙的
cluster  n.串，丛，群 v.丛生；使成群
clutch  n.一次所孵的卵（或蛋）； v.企图抓住，抓紧
coarse  a.粗（糙）的
coax  vt.巧妙地（耐心地）处理
code  n.密码，代码；法规 vt.把…编码
coexist  vi.共存
congnition  n.认知，认识（力）
coherent  a.有条理的；相干的
cohesion  n.内聚力；凝聚力；团结，结合
coil  n.卷，线圈 v.盘绕
