coincide  vi.一致；相巧合
collaborator  n.合作者
collapse  vi./n.崩溃，倒塌
collect  v.收集；聚集 ad./a (打电话）由对方付费（的）
collectively  ad.全体地，共同的
collide  vi.碰撞；冲突
colonize  vt.开拓（或建立）殖民地；移居于
colony  n.殖民地；（生物）群体
column  n.圆柱；专栏；长列
combat  n./v.格斗，战斗
combination  n.结合（体）；化合；组合
combine  v.（使）联合，（使）结合
combustible  a.可燃的，易燃的
comedy  n.喜剧
comet  n.彗星
comic  a.滑稽的，喜剧的
command  n./v.命令；指挥；掌握
commemorate  vt.纪念，庆祝
comment  n./vi.评论；注释
commentary  n.评论，注释
commerce  n.贸易，商业
commission  n.委任 vt.委托，授命
commit  vt.承诺；负责；犯（错）
commitment  n.承诺；支持；允许；致力，献身
committee  n.委员会
commodity  n.商品；日用品
communal  a.公共的；社区的
communicate  v.通信，交流；传达，传播
community  n.社团；社会；群落
commute  vi.坐公交车上下班
compact  a.紧凑的；简洁的 v.压缩
companion  n.同伴，共事者
comparable  a.(~ with, ~ to)可比较的，类似的
comparative  a.比较的；相当的，接近的
comparison  n.比较；比喻
compass  n.罗盘；[pl.]圆规；范围
compatible  a.协调的，一致的
compel  vt.驱使
compensate  v.赔偿，弥补
compete  vi.比得上；竞争，对抗
competence  n.胜任；能力
compile  vt.汇编；编辑
complement  vt.补充，使完善；与…相配
complementary  a.补充的；互补的
completion  n.完成，实现
complex  a.综合的；错综的，难以理解的 n.综合体
complicated  a.难懂的；复杂的
compliment  vt./n.赞美，恭维 n.[常 pl.]问候
comply  vi.服从，遵守
component n.成分，组成部分 a.构成的
compose  v.创作；组成；使安定
composition  n.成分，构成；作品，作文
compound  n.混（化）合物 a.复合的
comprehend  vt.理解，领会
compress  vt.压缩；缩短
comprise  vt.包含；由…组成
compromise  n.妥协，折衷
compulsory  a.义务的，必须做的
conceal  vt.隐蔽，隐瞒
concede  vt.承认；让步
conceive  vt.以为；构思，设想
concentration  n.专心；集中；浓度
concept  n.概念，思想
concert  n.一致；音乐会
concise  a.简明的，简练的
conclude  v.作出结论；（使）结束
conclusive  a.确定的，最后的
concrete  n.混凝土 a.具体的
condensation  n.浓缩，凝结
condense  v.（使）压缩；（使）凝结
conduct  ['k~]n.行为 [krn'~]vt.引导；传导；进行
conductivity  n.传导性
conductor  n.导体；（乐队等的）指挥
confederacy  n.联盟
confer  vt.授予
conference  n.会议；讨论会
confession  n.供认，承认
confidence  n.信心
configuration  n.构造，外形
