confine  vt.(~ to)限制
confirm  vt.证实；使巩固；批准
conflict  ['k~]n.冲突；不一致 [~'flikt]vi.冲突；不一致
conform  vi.遵守，符合；适应
confront  vt.使面临；对抗
congenial  a.性格温和的；相宜的
congestion  n.拥塞
congress  n.议会，国会；（代表）大会
conscious  a.有知觉的；有意识的
consciously  ad.有意识地，自觉地
consent  vi./n.同意，赞成
consequence  n.结果；影响；推理
consequently  ad.因此，从而
conservation  n.保守，保存，保持；守恒
conserve  vt.保存，保藏
considerable  a.相当大（或多）的；值得考虑的，重要的
considerate  a.考虑周到的，体贴的
consistent  a.一致的；稳定的；调和的；始终如一的
consistently  ad.一贯地
consonant  a.协调的
consort  vi.结交
constant  a.稳定的；不变的，持续的
constantly  ad.不断地，坚持不懈地
constellation  n.星座；一系列
constituent  n.要素，成分；选民
constitute  vt.组成；设立；制定（法律）
constitution  n.宪法，章程
constrain  vt.束缚，限制
constricted  a.狭窄的；收缩的
construct  vt.建造；创立
consult  v.请教，商议；参考，翻阅
consume  vt.消耗，消费；大吃大喝
consumption  n.消耗（量），消费（量）；食用
contagious  a.传染性的，有感染力的
contain  vt.包含，容纳；控制
contaminate  vt.污染
contemporary  a.当代的，现在的 n.同时代的人
content  [~'tent]a.满足的 ['k~]n.[常 pl.]内容，容量
contest  n.竞赛；辩论
context  n.上下文；背景；环境
continent  n.大陆
continuation  n.延长，延续
continuity  n.连贯性，连续性
continuum  n.连续统一体
contour  n.轮廓；等高线，周线
contract  ['k~]n.合同，契约 [~'traekt]v.订合同；收缩
constrast  ['~]n.对比，对照 [~'~]v.对比，对照
contribute  v.贡献，捐赠；有助于；投稿
controversy  n.争论，辩论
convection  n.对流；传送
convenience  n.便利；便利设施
convention  n.惯例；公约；（正式）会议
conventional  a.传统的，惯例的
converge  vi.汇聚，聚合
conversation  n.交谈；会话
converse  vi.交谈
convert  vt.(~ into)使…改变信仰；使转化（换）
convey  vt.运（送、输）；传达
convict  vt.定罪，宣告…有罪
convince  vt.使确信，说服
cooperative  a.合作的，协力的
coordinate  vt.协调，相配合
copper  n.铜（币）
coral  n.珊瑚（虫） a.珊瑚色的，珊瑚红的
corona  n.日冕，光环
corporate  a.共同的；公司的
correspond  vi.符合；相应
correspondence  n.信件；通信；相应
corrosion  n.腐蚀（状态），侵蚀
corrosive  a.腐蚀（性）的
cosmic  a.宇宙的
cosmos  n.宇宙
costume  n.服饰 vr.装束
counseling  n.咨询服务
counselor  n.顾问，法律顾问
counteract  vt.消除，抵消
counterpart  n.相对物，极其相似的人或物；副本
coupon  n.礼券，优惠券
court  n.法院；球场 vt.向…献殷勤，追求
crab  n.蟹
crack  v.（使）破裂 n.裂（缝、纹）
