craft  n.工艺 vt.手工制作
cramped  a.（指空间）狭小的，狭窄的
crater  n.火山口；（弹）坑
crawl  v./n.缓慢（或费力）地进行，爬行
creativity  n.创造（力）
credential  n.证明书，文凭，资格
credit  n.荣誉；学分；信用；银行存款 vt.(~ to)把…归给
crest  n.顶部
crew  n.全体船员；全体工作人员
crippling  a.令人震惊的
crisscross  v.交叉往来
criterion  n.标准
critic  n.评论家，批评家
critical  a.批评的，非难的；非常重要的；危急的
critique  n.批评，评论
crow  n.乌鸦
crown  n.王冠；顶，冠
crucial  a.至关重要的，决定性的
crude  a.天然的，未提炼的；粗糙的
crusade  n.十字军（远征）；运动 vi.加入十字军，投身正义运动
crush  vt.碾碎；使变形
crust  n.硬壳，地壳；面包皮
crustacean  n.甲壳类动物
crystal  n.水晶；晶体 a.透明的；结晶状的
cube  n.立方体，立方
cue  n.暗示，提示
cultivate  vt.耕种；培养
cultivated  a.栽植的；有修养的
culture  n.文化，文明；培养 v.培养
cumbersome  a.笨重的；麻烦的
cuneiform  a.楔形的 n.楔形文字
curiosity  n.好奇心
current  a.当前的 n.（液体、气体的）流；趋势
curriculum  n.[pl. curriula]课程
curve  n.曲线，弯曲 vt.弄弯
cushion  n.垫子 vt.缓冲
custom  n.[常 pl.]进口税；海关
cylinder  n.圆柱体；气缸
dairy  n.牛奶场；奶制品
dam  n.坝，堤
damp  a.潮湿的
dated  a.过时的
dawn  n.黎明；开端
dazzling  a.眼花缭乱的，耀眼的
deadline  n.最后期限，截止时间
deadly  a.致命的
dealer  n.商人，小贩
debate  n./v.辩论；讨论，争论
debris  n.废墟，残骸；碎片
debut  n./v.首次演出
decade  n.十年
decay  vi./n.腐烂；衰落
deceive  vt.欺骗
decent  a.体面的；适当的；令人满意的
deceptive  a.欺骗性的
deciduous  a.每年落叶的
decipher  vt.破译，解释
declaration  n.宣言
declare  vt.表明；宣称
decline  n./vi.下降；衰退
decode  vi.译解
decompose  v.分解；（使）腐烂
decorate  vt.装饰
decrease  [~'~]vi.减少 ['~]n.减少
dedicate  vt.(~ to)（使）致力于，奉献
dedication  n.奉献；题献词
defect  n.瑕疵；过失
defense  n.防御，防卫
deficiency  n.不足，缺乏
deficient  a.不足的，缺乏的
define  vt.定义，解释
definite    a.清楚的，确切的
definitive  a.确定的，最后的
deform  v.（使）变形
delegate  ['delrgit]n.代表 ['deligeit]vt.授权
deliberate  a.审慎的，深思熟虑的
delicate  a.易损的；微妙的；精巧的
