delicious  a.美味的，可口的
delight  n.使人高兴的东西 v.（使）愉快
deliver  v.传送，传递；陈述
delta  n.（河流的）三角洲
demanding  a.苛求的
democrat  n.民主主义者，民主人士； [Democrat]美国民主党人
democratic  a.民主的
demolish  vt.拆除；破坏
demonstrate  vt.论证，表明
denote  vt.表示
dense  a.密集的，浓厚的
dentist  n.牙科医生
deny  vt.否认；拒绝
depart  vi.离开；背离
depend  vi.(~ on)依靠，依赖；取决于
depict  vt.描写，描述；描绘
deplete  vt.使枯竭，耗尽
deposit  vt.沉淀；堆积；存款 n.堆积物
depression  n.萧条（期）；坑；低气压；沮丧
deprive  vt.使失去，剥夺
derive  vi.(~ from)得自，源于
descend  vi.遗传；下降
descent  n.血统；下降
describe  vt.描写，描述；称做
descriptive  a.描述性的
deserted  a.荒废的；无人的
deserve  vt.应得，值得
designate  vt.指定；任命
desire  vt.想要，渴望
desolate  a.荒凉的
desperate  a.令人绝望的
dessert  n.（餐后）甜点
destined  a.注定的
destruction  n.毁坏，毁灭
destructive  a.破坏性的
detect  vt.发现，察觉；探测
detective  n.侦探 a.侦探的
deter  vt.阻止
deteriorate  vi.变坏；变质
determine  vt.确定；决定
detest  vt.憎恶
devastate  vt.破坏
device  n.装置，设备;手法
devise  vt.设计；发明；想出
devoid  a.全无的
devote  vt.(~ to)为i…付出（时间、精力等）；献身于；作…之用
devour  vt.贪婪地吃；吞食
diagnose  vt.诊断
diagonal  a.倾斜的 n.斜线
dialect  n.方言
diameter  n.直径
dictate  vt.规定；决定
diction  n.措辞，用语
diet  n.饮食，食物 vi.节食
differentiate  v.（使）不同，区别
diffuse  [~z]v.传播；扩散 [~s]a.散开的
digest  vt.消化，吸收
digestive  a.消化的；助消化的
dignity  n.尊严；高贵
dilemma  n.进退两难的局面
dilute  vt.稀释；淡化
dim  a.模糊的；暗淡的
dimension  n.维（数）；尺度；方面；[常 pl.]大小
diminish  v.减低重要性；（使）变小
dinosaur  n.恐龙
dioxide  n.二氧化物
diplomat  n.外交官
director  n.导演；主管；负责人
directory  n.人名地址录；目录
disadvantage  n.缺点；不利
disaster  n.灾难；彻底的失败
discard  vt.丢弃
discern  vt.洞悉；识别
discharge  ['~]n.流出物；放电 [~'~]vt.释放
discipline  n.纪律；学科 vt.训练；惩罚
discount  n.折扣
discrete  a.分离的
